id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
166,心迷宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,中国大陆,2014, 忻钰坤 Yukun Xin, 霍卫民 Weimin Huo,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,剧情/犯罪/悬疑,
167,心灵奇旅,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg,美国,2020, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.7,,动画/奇幻/音乐,
168,电锯惊魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg,美国,2004, 詹姆斯·温 James Wan, 雷·沃纳尔 Leigh Whannell,8.7,真相就在眼前。,悬疑/惊悚/恐怖,
169,小丑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,美国 加拿大,2019, 托德·菲利普斯 Todd Phillips, 杰昆·菲尼克斯 Joaquin Phoeni...,8.7,,剧情/犯罪/惊悚,
170,背靠背，脸对脸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg,中国大陆 中国香港,1994, 黄建新 Jianxin Huang, 黄建新 Jianxin Huang,9.5,,剧情,
171,达拉斯买家俱乐部,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,美国,2013, 让-马克·瓦雷 Jean-Marc Vallée, 马修·麦康纳 Matthew McCon...,8.8,Jared Leto的腿比女人还美！,剧情/传记/同性,
172,疯狂原始人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,美国,2013, 科克·德·米科 Kirk De Micco, 科克·德·米科 Kirk De Micco,8.7,老少皆宜，这就是好莱坞动画的魅力。,喜剧/动画/冒险,
173,谍影重重3,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,美国 德国 法国 英国,2007, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon,8.8,像吃了苏打饼一样干脆的电影。,动作/悬疑/惊悚,
174,绿里奇迹,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg,美国,1999, 弗兰克·德拉邦特 Frank Darabont, 汤姆·汉克斯 Tom Hanks,8.9,天使暂时离开。,犯罪/剧情/奇幻/悬疑,
175,爱在午夜降临前,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg,美国 希腊,2013, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,8.9,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,剧情/爱情,
176,海街日记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,日本,2015, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase,8.8,是枝裕和的家庭习作。,剧情/家庭,
177,上帝之城,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,巴西 法国,2002, 费尔南多·梅里尔斯 Fernando Meirelles, 费尔南多·梅里尔斯 Fernando Meirelles,9.0,被上帝抛弃了的上帝之城。,犯罪/剧情,
178,机器人之梦,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904305126.jpg,西班牙 法国,2023, 巴勃罗·贝格尔 Pablo Berger, 伊万·拉班达 Ivan Labanda,9.0,,剧情/动画/音乐,
179,英雄本色,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,中国香港,1986, 吴宇森 John Woo, 周润发 Yun-Fat Chow,8.6,英雄泪短，兄弟情长。 ,剧情/动作/犯罪,
180,无间道2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,中国香港,2003, 刘伟强, 刘伟强,8.8,,剧情/犯罪/惊悚,
181,风之谷,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,日本,1984, 宫崎骏 Hayao Miyazaki, 岛本须美 Sumi Shimamoto,8.9,动画片的圣经。,动画/奇幻/冒险,
182,疯狂的石头,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,中国大陆 中国香港,2006, 宁浩 Hao Ning, 郭涛 Tao Guo,8.6,中国版《两杆大烟枪》。,喜剧/犯罪,
183,2001太空漫游,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,英国 美国,1968, 斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea,8.9,现代科幻电影的开山之作，最伟大导演的最伟大影片。,科幻/惊悚/冒险,
184,雨中曲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,美国,1952, 斯坦利·多南 Stanley Donen, 斯坦利·多南 Stanley Donen,9.1,骨灰级歌舞片。,喜剧/歌舞/爱情,
185,纵横四海,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,中国香港,1991, 吴宇森 John Woo, 周润发 Yun-Fat Chow,8.8,香港浪漫主义警匪动作片的巅峰之作。,剧情/喜剧/动作/犯罪,
186,记忆碎片,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,美国,2000, 克里斯托弗·诺兰 Christopher Nolan, 盖·皮尔斯 Guy Pearce,8.7,一个针管引发的血案。,犯罪/剧情/悬疑/惊悚,
187,卢旺达饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,英国 南非 意大利 美国,2004, 特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle,8.9,当这个世界闭上双眼，他却敞开了怀抱。,剧情/传记/历史/战争,
188,小偷家族,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg,日本,2018, 是枝裕和 Hirokazu Koreeda, 中川雅也 Lily Franky,8.7,我们组成了家。,剧情/犯罪/家庭,
189,无敌破坏王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,美国,2012, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly,8.7,迪士尼和皮克斯拿错剧本的产物。,喜剧/动画/奇幻/冒险,
190,末路狂花,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg,美国 英国 法国,1991, 雷德利·斯科特 Ridley Scott, 吉娜·戴维斯 Geena Davis,9.0,没有了退路，只好飞向自由。,犯罪/剧情/惊悚,
191,冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,美国,2002, 卡洛斯·沙尔丹哈 Carlos Saldanha, 卡洛斯·沙尔丹哈 Carlos Saldanha,8.6,松鼠才是角儿。,喜剧/动画/冒险,
192,岁月神偷,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,中国香港 中国大陆,2010, 罗启锐 Alex Law, 吴君如 Sandra Ng,8.7,岁月流逝，来日可追。,剧情/家庭,
193,牯岭街少年杀人事件,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,中国台湾,1991, 杨德昌 Edward Yang, 张震 Chen Chang,8.9,弱者送给弱者的一刀。,剧情/犯罪,
194,恐怖游轮,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,英国 澳大利亚,2009, 克里斯托弗·史密斯 Christopher Smith, 梅利莎·乔治 Melissa ...,8.5,不要企图在重复中寻找已经失去的爱。,剧情/悬疑/惊悚,
195,东京教父,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg,日本,2003, 今敏 Satoshi Kon, 江守彻 Toru Emori,9.0,,剧情/喜剧/动画,
196,忠犬八公物语,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg,日本,1987, 神山征二郎 Seijirô Kôyama, 仲代达矢 Tatsuya Nakadai,9.2,养狗三日，便会对你终其一生。,剧情,
197,荒蛮故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg,阿根廷 西班牙,2014, 达米安·斯兹弗隆 Damián Szifron, 达里奥·葛兰帝内提 Darío...,8.8,始于荒诞，止于更荒诞。,剧情/喜剧/犯罪,
198,爆裂鼓手,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.jpg,美国,2014, 达米恩·查泽雷 Damien Chazelle, 迈尔斯·特勒 Miles Teller,8.6,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,剧情/音乐,
199,魔女宅急便,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,日本,1989, 宫崎骏 Hayao Miyazaki, 高山南 Minami Takayama,8.7,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,动画/奇幻/冒险,
200,高山下的花环,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg,1985,1984(中国大陆), 谢晋 Jin Xie, 吕晓禾 Xiaohe Lü,9.5,,剧情/战争,
201,大佛普拉斯,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg,中国台湾,2017, 黄信尧 Hsin-yao Huang, 庄益增 Yizeng Zhuang,8.7,人们可以登上月球，却永远无法探索人们内心的宇宙。,剧情/喜剧,
202,遗愿清单,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg,美国,2007, 罗伯·莱纳 Rob Reiner, 杰克·尼科尔森 Jack Nicholson,8.7,用剩余不多的时间，去燃烧整个生命。,冒险/喜剧/剧情,
203,贫民窟的百万富翁,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg,英国,2008, 丹尼·鲍尔 Danny Boyle, 丹尼·鲍尔 Danny Boyle,8.6,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,剧情/爱情,
204,东邪西毒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,中国香港 中国台湾,1994, 王家卫 Kar Wai Wong, 张国荣 Leslie Cheung,8.6,电影诗。,剧情/动作/爱情/武侠/古装,
205,你看起来好像很好吃,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,日本,2010, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi,8.9,感情不分食草或者食肉。,剧情/动画/儿童,
206,源代码,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg,美国 加拿大,2011, 邓肯·琼斯 Duncan Jones, 杰克·吉伦哈尔 Jake Gyllenhaal,8.6,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,科幻/悬疑/惊悚,
207,疯狂的麦克斯4：狂暴之路,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,澳大利亚 美国,2015, 乔治·米勒 George Miller, 汤姆·哈迪 Tom Hardy,8.7,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,动作/科幻/冒险,
208,可可西里,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg,中国大陆 中国香港,2004, 陆川 Chuan Lu, 多布杰 Duobujie,8.9,坚硬的信仰。,剧情/犯罪,
209,海边的曼彻斯特,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg,美国,2016, 肯尼斯·罗纳根 Kenneth Lonergan, 卡西·阿弗莱克 Casey Affle...,8.6,我们都有权利不与自己的过去和解。,剧情/家庭,
210,城市之光,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,美国,1931, Charles Chaplin, 查理·卓别林 Charles Chaplin,9.3,永远的小人物，伟大的卓别林。,喜剧/剧情/爱情,
211,波西米亚狂想曲,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,英国 美国,2018, 布莱恩·辛格 Bryan Singer, 拉米·马雷克 Rami Malek,8.6,,剧情/传记/同性/音乐,
212,芙蓉镇,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575337180.jpg,中国大陆,1987, 谢晋 Jin Xie, 刘晓庆 Xiaoqing Liu,9.3,,剧情/爱情,
213,黑天鹅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,美国,2010, 达伦·阿罗诺夫斯基 Darren Aronofsky, 娜塔莉·波特曼 Natalie...,8.6,黑暗之美。,剧情/惊悚,
214,爱乐之城,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.jpg,美国,2016, 达米恩·查泽雷 Damien Chazelle, 瑞恩·高斯林 Ryan Gosling,8.4,,剧情/爱情/歌舞,
215,花束般的恋爱,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg,日本,2021, 土井裕泰 Nobuhiro Doi, 菅田将晖 Masaki Suda,8.6,,剧情/爱情,
216,青蛇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,中国香港 中国大陆,1993, 徐克 Hark Tsui, 张曼玉 Maggie Cheung,8.6,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,剧情/爱情/奇幻/古装,
217,初恋这件小事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg,泰国,2010, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,8.5,黑小鸭速效美白记。,剧情/喜剧/爱情,
218,终结者2：审判日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,美国 法国,1991, 詹姆斯·卡梅隆 James Cameron, 阿诺·施瓦辛格 Arnold Schwarz...,8.8,少见的超越首部的续集，动作片中的经典。,动作/科幻,
219,哈利·波特与死亡圣器(上),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.jpg,英国 美国,2010, 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe...,8.6,最忠于原著的一部。,奇幻/冒险,
220,雨人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg,美国,1988, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ...,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,剧情,
221,里斯本丸沉没,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2912588024.jpg,中国大陆,2023, 方励 Li Fang, 方励 Li Fang,9.3,,纪录片,
222,白日梦想家,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg,美国 英国,2013, 本·斯蒂勒 Ben Stiller, 本·斯蒂勒 Ben Stiller,8.6,,剧情/喜剧/冒险,
223,人工智能,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg,美国 英国,2001, 史蒂文·斯皮尔伯格 Steven Spielberg, 海利·乔·奥斯蒙 Haley...,8.7,对爱的执着，可以超越一切。,剧情/科幻,
224,真爱至上,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg,英国 美国 法国,2003, 理查德·柯蒂斯 Richard Curtis, 休·格兰特 Hugh Grant,8.5,爱，是个动词。,喜剧/剧情/爱情,
225,无耻混蛋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1086394013.jpg,德国 美国,2009, 昆汀·塔伦蒂诺 Quentin Tarantino, 布拉德·皮特 Brad Pitt,8.7,昆汀同学越来越变态了，比北野武还杜琪峰。,剧情/犯罪,
226,新龙门客栈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,中国香港 中国大陆,1992, 李惠民 Raymond Lee, 张曼玉 Maggie Cheung,8.7,嬉笑怒骂，调风动月。,动作/爱情/武侠/古装,
227,虎口脱险,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,法国 英国,1966, 杰拉尔·乌里 Gérard Oury, 路易·德·菲耐斯 Louis de Funès...,8.9,永远看不腻的喜剧。,喜剧/战争,
228,恋恋笔记本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,美国,2004, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,剧情/爱情,
229,崖上的波妞,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg,日本,2008, 宫崎骏 Hayao Miyazaki, 奈良柚莉爱 Yuria Nara,8.6,,动画/奇幻/冒险,
230,罗生门,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg,日本,1950, 黑泽明 Akira Kurosawa, 三船敏郎 Toshirô Mifune,8.8,人生的N种可能性。,剧情/犯罪/悬疑,
231,千钧一发,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792423963.jpg,美国,1997, 安德鲁·尼科尔 Andrew Niccol, 伊桑·霍克 Ethan Hawke,8.8,一部能引人思考的科幻励志片。,剧情/科幻/惊悚,
232,彗星来的那一夜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,美国 英国,2013, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...,8.6,小成本大魅力。,科幻/悬疑/惊悚,
233,大红灯笼高高挂,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg,中国大陆 中国香港 中国台湾,1991, 张艺谋 Yimou Zhang, 巩俐 Li Gong,8.8,,剧情,
234,哈利·波特与凤凰社,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456924.jpg,英国 美国,2007, 大卫·叶茨 David Yates, 丹尼尔·雷德克里夫 Daniel Radcliffe...,8.5,,奇幻/冒险,
235,黑客帝国2：重装上阵,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg,美国,2003, 拉娜·沃卓斯基 Lana Wachowski, 拉娜·沃卓斯基 Lana Wachowski,8.7,一个精彩的世界观正在缓缓建立。,动作/科幻,
236,火星救援,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.jpg,英国 美国 匈牙利 约旦,2015, 雷德利·斯科特 Ridley Scott, 马特·达蒙 Matt Damon,8.5,,剧情/科幻/冒险,
237,萤火虫之墓,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg,日本,1988, 高畑勋 Isao Takahata, 辰己努,8.7,幸福是生生不息，却难以触及的远。 ,动画/剧情/战争,
238,奇迹男孩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,美国 中国香港,2017, 斯蒂芬·卓博斯基 Stephen Chbosky, 雅各布·特伦布莱 Jacob Tr...,8.6,世界不完美，爱会有奇迹。,剧情/儿童/家庭,
239,二十二,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457609817.jpg,中国大陆,2015, 郭柯 Ke Guo,,8.7,有一些东西不应该被遗忘。,纪录片,
240,战争之王,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg,美国 德国,2005, 安德鲁·尼科尔 Andrew Niccol, 尼古拉斯·凯奇 Nicolas Cage,8.7,做一颗让别人需要你的棋子。,剧情/犯罪,
241,步履不停,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg,日本,2008, 是枝裕和 Hirokazu Koreeda, 阿部宽 Hiroshi Abe,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,剧情/家庭,
242,千年女优,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg,日本,2001, 今敏 Satoshi Kon, 庄司美代子 Miyoko Shôji,8.8,爱情是一场没有尽头的虚幻追逐。,动画/剧情/爱情,
243,血钻,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,美国 德国 英国,2006, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...,8.7,每个美丽事物背后都是滴血的现实。,剧情/惊悚/冒险,
244,谍影重重2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg,美国 德国,2004, 保罗·格林格拉斯 Paul Greengrass, 马特·达蒙 Matt Damon,8.7,谁说王家卫镜头很晃？,动作/悬疑/惊悚,
245,蜘蛛侠：平行宇宙,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg,美国,2018, 鲍勃·佩尔西凯蒂 Bob Persichetti, 鲍勃·佩尔西凯蒂 Bob Persichetti,8.6,,动作/科幻/动画/冒险,
246,房间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,爱尔兰 加拿大 英国 美国,2015, 伦尼·阿伯拉罕森 Lenny Abrahamson, 布丽·拉尔森 Brie Larson...,8.8,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,剧情/家庭,
247,魂断蓝桥,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg,美国,1940, 茂文·勒鲁瓦 Mervyn LeRoy, 费雯·丽 Vivien Leigh,8.8,中国式内在的美国电影。,剧情/爱情/战争,
248,弱点,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577248102.jpg,美国,2009, 约翰·李·汉考克 John Lee Hancock, 桑德拉·布洛克 Sandra Bu...,8.7,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。,剧情/家庭/传记/运动,
249,谍影重重,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,美国 德国 捷克,2002, 道格·里曼 Doug Liman, 马特·达蒙 Matt Damon,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,动作/悬疑/惊悚,
250,隐藏人物,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374067318.jpg,美国,2016, 特奥多尔·梅尔菲 Theodore Melfi, 塔拉吉·P·汉森 Taraji P. ...,8.9,,剧情/传记/历史,
